session_id,session_name,timestamp,speed_ms,voltage_v,current_a,power_w,energy_j,distance_m,latitude,longitude,altitude,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,total_acceleration,message_id,uptime_seconds,throttle_pct,brake_pct,throttle,brake,data_source
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:10.272851+00:00,14.43,46.04,9.87,454.38,90.88,2.89,40.71276,-74.004968,99.3,0.093,-0.196,0.698,71.951,-0.449,9.673,72.599,1,0.2,14.6,67.4,0.146,0.674,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:10.450691+00:00,15.87,46.81,12.08,565.31,203.94,6.06,40.712816,-74.005155,101.57,0.191,0.164,0.51,7.423,-0.09,9.092,11.738,2,0.4,26.3,51.3,0.263,0.513,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:10.674001+00:00,16.64,48.87,11.26,550.2,313.98,9.39,40.71288,-74.004881,100.27,1.17,-0.455,1.062,4.036,1.008,9.194,10.091,3,0.6000000000000001,32.7,44.1,0.327,0.441,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:10.890644+00:00,14.83,47.64,10.97,522.7,418.52,12.35,40.713128,-74.004969,101.61,0.174,0.525,1.658,-8.79,0.424,9.854,13.211,4,0.8,27.6,56.1,0.276,0.561,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:11.078797+00:00,18.98,48.5,12.16,590.03,536.52,16.15,40.71296,-74.00508,101.03,-0.214,-0.003,0.825,20.785,1.229,9.98,23.09,5,1.0,43.7,32.7,0.437,0.327,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:11.296742+00:00,17.46,48.42,9.51,460.35,628.59,19.64,40.713029,-74.00509,101.15,0.375,-0.161,1.09,-7.646,1.14,10.151,12.76,6,1.2000000000000002,30.6,57.9,0.306,0.579,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:11.482771+00:00,17.6,45.31,11.06,500.96,728.78,23.16,40.71311,-74.004992,101.23,-0.663,-0.56,1.247,0.56,1.883,9.264,9.47,7,1.4000000000000001,20.0,78.9,0.2,0.789,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:11.669569+00:00,16.99,46.25,10.2,471.79,823.14,26.56,40.713017,-74.005057,103.89,0.257,0.046,0.679,-2.948,1.899,9.311,9.95,8,1.6,37.1,53.6,0.371,0.536,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:11.857891+00:00,17.45,45.93,10.17,467.0,916.54,30.05,40.713277,-74.005072,102.53,-0.52,-0.594,1.443,2.152,1.7,9.626,10.009,9,1.8,43.4,46.3,0.434,0.463,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:12.061510+00:00,19.17,47.37,11.14,527.7,1022.08,33.88,40.713328,-74.005016,103.38,0.124,-0.14,3.412,8.158,2.475,9.332,12.64,10,2.0,27.9,75.1,0.279,0.751,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:12.265353+00:00,17.6,47.53,11.1,527.84,1127.65,37.4,40.713123,-74.005108,101.71,0.037,0.227,2.439,-7.879,2.477,9.24,12.393,11,2.2,42.4,54.0,0.424,0.54,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:12.530885+00:00,18.87,48.5,9.97,483.44,1224.34,41.18,40.713206,-74.005048,105.2,0.291,-0.268,1.483,6.997,2.487,9.851,12.336,12,2.4000000000000004,50.6,43.2,0.506,0.432,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:12.715970+00:00,20.65,49.75,10.81,538.07,1331.95,45.31,40.713418,-74.005198,104.57,0.491,-0.287,2.697,9.428,3.031,9.644,13.823,13,2.6,72.6,3.0,0.726,0.03,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:12.933685+00:00,20.89,48.61,12.46,605.69,1453.09,49.48,40.713204,-74.004989,102.42,-0.305,0.192,1.513,1.387,2.989,9.369,9.931,14,2.8000000000000003,78.7,4.0,0.787,0.04,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:13.134928+00:00,22.39,46.98,11.7,549.77,1563.04,53.96,40.713624,-74.005181,104.73,0.169,-0.184,1.232,7.827,4.185,10.34,13.627,15,3.0,79.6,0.0,0.796,0.0,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:13.338227+00:00,20.42,49.44,12.23,604.87,1684.02,58.04,40.713454,-74.005427,103.7,-0.421,0.102,0.839,-10.301,3.943,9.826,14.772,16,3.2,89.6,1.1,0.896,0.011,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:13.540875+00:00,20.22,47.69,11.16,532.17,1790.45,62.09,40.713573,-74.005358,103.92,-0.341,-0.078,2.273,-0.23,3.294,9.621,10.172,17,3.4000000000000004,88.8,1.8,0.888,0.018,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:13.758593+00:00,17.27,49.81,10.64,529.9,1896.43,65.54,40.713636,-74.005379,105.24,0.237,-0.267,2.135,-13.896,3.471,9.817,17.364,18,3.6,86.2,0.3,0.862,0.003,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:13.961906+00:00,18.94,46.26,10.13,468.37,1990.1,69.33,40.713596,-74.005427,104.1,-0.753,-0.036,0.141,8.914,3.516,10.322,14.084,19,3.8000000000000003,85.5,1.1,0.855,0.011,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:14.165161+00:00,18.21,49.24,13.21,650.66,2120.24,72.97,40.71362,-74.005146,105.2,0.332,-0.012,1.932,-3.353,3.82,9.663,10.919,20,4.0,92.2,1.7,0.922,0.017,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:14.369018+00:00,19.49,46.3,10.66,493.77,2218.99,76.87,40.713496,-74.005459,105.08,0.312,-0.026,0.538,6.868,4.079,10.247,12.992,21,4.2,82.9,0.7,0.829,0.007,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:14.681372+00:00,18.96,47.25,11.47,541.89,2327.37,80.66,40.713716,-74.005287,104.96,0.409,-0.519,2.366,-3.122,3.954,9.427,10.689,22,4.4,84.7,2.4,0.847,0.024,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:14.885868+00:00,19.93,47.62,12.18,580.27,2443.42,84.65,40.713655,-74.005637,106.11,0.251,-0.195,2.45,5.288,3.959,9.975,11.964,23,4.6000000000000005,90.7,3.1,0.907,0.031,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:15.106325+00:00,20.61,46.44,11.93,553.94,2554.21,88.77,40.713736,-74.005488,107.36,-0.127,-0.378,2.198,3.253,4.194,9.804,11.148,24,4.800000000000001,81.3,3.7,0.813,0.037,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:15.350079+00:00,19.59,49.39,11.29,557.79,2665.77,92.69,40.713707,-74.005504,106.83,-0.135,-0.214,3.247,-5.843,4.292,10.922,13.109,25,5.0,88.4,2.9,0.884,0.029,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:15.544080+00:00,18.37,49.99,10.91,545.29,2774.83,96.37,40.71381,-74.005719,106.38,0.803,0.243,2.123,-6.674,3.126,9.726,12.203,26,5.2,82.7,0.8,0.827,0.008,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:15.745926+00:00,16.84,49.67,11.06,549.44,2884.71,99.73,40.713832,-74.005816,106.34,0.055,-0.331,2.905,-7.547,2.67,9.44,12.377,27,5.4,95.1,2.5,0.951,0.025,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:15.963566+00:00,18.12,46.91,10.85,508.95,2986.51,103.36,40.713824,-74.005634,105.7,-0.186,-0.248,1.725,6.778,3.202,9.132,11.815,28,5.6000000000000005,87.5,2.5,0.875,0.025,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:16.180855+00:00,18.82,47.03,11.33,532.78,3093.06,107.12,40.71385,-74.005765,107.93,0.673,-0.023,1.894,2.931,2.675,9.744,10.522,29,5.800000000000001,91.1,2.9,0.911,0.029,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:16.385497+00:00,15.98,48.25,9.4,453.54,3183.77,110.32,40.713834,-74.005893,106.42,0.451,0.205,0.823,-14.333,2.455,9.493,17.365,30,6.0,80.2,2.2,0.802,0.022,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:16.587043+00:00,17.89,46.5,11.38,529.08,3289.58,113.89,40.713853,-74.005955,108.71,0.459,-0.08,0.56,10.213,2.034,10.055,14.475,31,6.2,96.2,1.1,0.962,0.011,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:16.839598+00:00,17.79,48.46,11.75,569.43,3403.47,117.45,40.713663,-74.005982,107.84,-0.692,-0.531,1.927,-1.197,1.89,9.636,9.893,32,6.4,93.4,3.6,0.934,0.036,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:17.051978+00:00,13.13,49.6,10.54,523.08,3508.09,120.08,40.713817,-74.006032,106.66,0.367,0.301,2.167,-22.946,0.967,9.719,24.939,33,6.6000000000000005,91.9,2.9,0.919,0.029,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:17.255061+00:00,12.86,48.73,12.68,618.03,3631.69,122.65,40.713797,-74.006151,107.58,0.237,-0.26,1.333,-0.822,1.323,9.502,9.629,34,6.800000000000001,84.8,1.6,0.848,0.016,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:17.459587+00:00,13.49,48.36,10.24,495.02,3730.7,125.35,40.713545,-74.006158,108.56,0.215,0.016,0.018,2.85,0.882,10.21,10.637,35,7.0,85.9,2.5,0.859,0.025,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:17.664917+00:00,14.0,49.86,9.41,469.45,3824.59,128.15,40.713699,-74.006195,107.88,-0.772,0.106,2.467,2.881,1.448,9.799,10.316,36,7.2,80.9,2.9,0.809,0.029,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:17.871042+00:00,11.94,46.89,10.45,490.04,3922.59,130.54,40.713768,-74.006223,109.9,-0.092,0.304,-0.138,-10.629,0.5,9.571,14.312,37,7.4,90.0,1.8,0.9,0.018,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:18.085464+00:00,11.18,47.01,11.47,539.28,4030.45,132.78,40.713692,-74.006244,109.25,0.01,-0.572,0.924,-3.711,0.136,9.87,10.546,38,7.6000000000000005,79.5,0.5,0.795,0.005,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:18.288864+00:00,12.29,50.62,9.7,490.86,4128.62,135.23,40.713648,-74.006296,108.5,1.067,-0.273,1.78,5.451,0.38,9.587,11.035,39,7.800000000000001,81.8,1.2,0.818,0.012,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:18.492862+00:00,10.36,47.97,11.21,537.62,4236.15,137.31,40.713796,-74.006402,106.96,0.064,0.483,-0.915,-9.287,0.157,10.165,13.769,40,8.0,76.1,1.6,0.761,0.016,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:18.672570+00:00,9.76,47.51,10.11,480.6,4332.27,139.26,40.713641,-74.006349,109.41,-0.577,0.076,1.599,-3.51,-0.103,10.489,11.061,41,8.200000000000001,83.0,0.8,0.83,0.008,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:18.986351+00:00,11.99,46.04,9.16,421.93,4416.65,141.66,40.713756,-74.006427,109.07,0.922,0.139,-1.084,11.271,-0.055,10.145,15.164,42,8.4,83.0,3.3,0.83,0.033,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:19.196605+00:00,10.81,49.5,9.96,492.98,4515.25,143.82,40.713379,-74.006423,110.49,-1.088,0.361,-0.052,-5.646,-0.718,9.595,11.156,43,8.6,70.6,2.5,0.706,0.025,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:19.415532+00:00,9.68,46.61,8.8,409.95,4597.24,145.75,40.713633,-74.006721,108.7,-0.807,-0.469,-0.551,-5.855,-0.775,9.501,11.187,44,8.8,85.5,4.9,0.855,0.049,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:19.640316+00:00,12.95,47.28,9.15,432.79,4683.8,148.34,40.713666,-74.006503,108.83,-0.015,0.139,0.214,16.072,-0.852,10.221,19.066,45,9.0,68.3,4.1,0.683,0.041,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:19.859229+00:00,11.86,47.92,9.08,435.3,4770.86,150.72,40.713623,-74.006604,110.34,-0.367,-0.157,-0.248,-5.657,-1.093,9.734,11.311,46,9.200000000000001,69.4,0.8,0.694,0.008,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:20.060596+00:00,9.9,48.61,7.54,366.51,4844.16,152.7,40.713361,-74.006753,109.33,-0.153,-0.205,-2.039,-10.163,-0.884,9.899,14.215,47,9.4,72.0,1.2,0.72,0.012,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:20.278541+00:00,7.46,49.04,9.05,443.87,4932.93,154.19,40.713474,-74.006666,109.03,0.239,0.084,-0.94,-12.032,-0.679,9.921,15.609,48,9.600000000000001,61.4,0.7,0.614,0.007,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:20.482207+00:00,10.53,48.39,10.2,493.62,5031.66,156.29,40.713497,-74.006626,110.28,-0.763,0.118,-1.713,16.393,-1.453,9.77,19.139,49,9.8,71.8,1.3,0.718,0.013,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:20.686627+00:00,9.61,46.98,8.72,409.71,5113.6,158.22,40.713242,-74.006601,110.4,-0.011,0.03,-1.014,-4.373,-1.408,9.472,10.528,50,10.0,60.3,1.9,0.603,0.019,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:20.908448+00:00,10.99,48.43,10.59,512.73,5216.14,160.41,40.713381,-74.006921,109.07,-0.258,0.247,-1.398,7.365,-1.521,9.501,12.117,51,10.200000000000001,66.3,1.6,0.663,0.016,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:21.120147+00:00,12.33,48.14,10.41,501.32,5316.41,162.88,40.713273,-74.006966,110.86,0.442,0.68,-2.258,6.231,-1.911,9.866,11.824,52,10.4,56.1,3.7,0.561,0.037,MOCK_NORMAL
5dde09d3-8a69-47e6-9e00-6c4c4d2da226,M 233,2026-03-21T21:41:21.331940+00:00,8.09,48.99,8.66,424.42,5401.29,164.5,40.713414,-74.006923,107.38,0.06,0.404,-0.914,-20.993,-1.216,9.698,23.157,53,10.600000000000001,50.7,0.9,0.507,0.009,MOCK_NORMAL
